Key,en,es,ar,fr
Requirements,Requirements,Requisitos,متطلبات,Exigences
Back,Back,Atrás,خلف,Dos
Welcome,Welcome,Bienvenido,مرحباً,Accueillir
To Project Installation Process,To Project Installation Process,Proceso de instalación del proyecto,لعملية تثبيت المشروع,Vers le processus d'installation du projet
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con la instalación, haga clic en el botón de inicio. Si decide no instalar esta aplicación, haga clic en el botón de cancelación. Gracias.",لمتابعة عملية التثبيت، انقر على زر البدء. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا.,"Pour poursuivre l'installation, cliquez sur le bouton « Démarrer ». Si vous choisissez de ne pas installer l'application, cliquez sur le bouton « Annuler ». Merci."
Cancel,Cancel,Cancelar,يلغي,Annuler
Start,Start,Comenzar,يبدأ,Commencer
Please Verify 2FA Authentication Using Valid Code,Please Verify 2FA Authentication Using Valid Code,Verifique la autenticación 2FA con un código válido,يرجى التحقق من مصادقة 2FA باستخدام رمز صالح,Veuillez vérifier l'authentification 2FA à l'aide d'un code valide
Authentication Code,Authentication Code,Código de autenticación,رمز المصادقة,Code d'authentification
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel de control.",إذا كان هناك خطأ في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك للحصول على إمكانية الوصول إلى لوحة المعلومات,"Si quelque chose ne va pas avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord."
Verify,Verify,Verificar,يؤكد,Vérifier
Admin | Login,Admin | Login,Administrador | Iniciar sesión,المسؤول | تسجيل الدخول,Administrateur | Connexion
text,text,texto,نص,texte
SL NO,SL NO,SL NO,رقم SL,SL NON
TXN Type,TXN Type,Tipo TXN,نوع TXN,Type TXN
Asset,Asset,Activo,أصل,Actif
Chain,Chain,Cadena,سلسلة,Chaîne
Block Number,Block Number,Número de bloque,رقم الكتلة,Numéro de bloc
Rate,Rate,Tasa,معدل,Taux
Add Language,Add Language,Agregar idioma,إضافة لغة,Ajouter une langue
Add,Add,Agregar,يضيف,Ajouter
Edit Language,Edit Language,Editar idioma,تحرير اللغة,Modifier la langue
Select Language,Select Language,Seleccionar idioma,اختر اللغة,Sélectionner la langue
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv),"Fichier de langue (.xlsx, .csv)"
Add New Item,Add New Item,Agregar nuevo artículo,إضافة عنصر جديد,Ajouter un nouvel élément
Add Brand,Add Brand,Agregar marca,إضافة العلامة التجارية,Ajouter une marque
Add Feedback,Add Feedback,Añadir comentarios,إضافة تعليق,Ajouter un commentaire
Add Service,Add Service,Agregar servicio,إضافة خدمة,Ajouter un service
Add Solution,Add Solution,Añadir solución,إضافة الحل,Ajouter une solution
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول,Ajouter un administrateur
countryFlag,countryFlag,bandera del país,علم الدولة,drapeau du pays
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمسؤول,Image de profil d'administrateur
Generate,Generate,Generar,يولد,Générer
Select Role,Select Role,Seleccionar rol,حدد الدور,Sélectionner un rôle
Add Currency,Add Currency,Agregar moneda,إضافة العملة,Ajouter une devise
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,Ajouter un nouvel écran
Sub Title,Sub Title,Subtítulo,العنوان الفرعي,Sous-titre
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Ajouter une nouvelle autorisation
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Nom de l'autorisation
selectRole,selectRole,seleccionarRol,حدد الدور,sélectionner le rôle
Choose One,Choose One,Elige uno,اختر واحدا,Choisissez-en un
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permisos,تعيين صفحة/مهمة الأذونات,Attribuer une page/tâche d'autorisation
Edit Permission,Edit Permission,Permiso de edición,تعديل الأذونات,Modifier l'autorisation
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Ajouter un nouveau rôle
Role Name,Role Name,Nombre del rol,اسم الدور,Nom du rôle
Edit Role,Edit Role,Editar rol,تحرير الدور,Modifier le rôle
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول,Modifier l'administrateur
Edit Currency,Edit Currency,Editar moneda,تعديل العملة,Modifier la devise
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة,Écran d'édition
Update Extension,Update Extension,Actualizar extensión,امتداد التحديث,Extension de mise à jour
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض KYC,Rejeter KYC
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,اشرح سبب الرفض,Expliquez la raison du rejet
Send Email,Send Email,Enviar correo electrónico,إرسال بريد إلكتروني,Envoyer un e-mail
placeholder,placeholder,marcador de posición,عنصر نائب,espace réservé
Close,Close,Cerca,يغلق,Fermer
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد اختباري,Envoyer un e-mail de test
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين,Envoyer un courrier à tous les abonnés
Details,Details,Detalles,تفاصيل,Détails
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي لـ,Cadre global pour
in bellow,in bellow,abajo,في الأسفل,ci-dessous
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Charge,Charge,Cargar,تكلفة,Charge
Total Supported Currency,Total Supported Currency,Total de monedas admitidas,إجمالي العملة المدعومة,Total des devises prises en charge
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Collecter des données
fas fa-plus,fas fa-plus,fas fa-plus,fas fa-plus,fas fa-plus
Field Types,Field Types,Tipos de campo,أنواع الحقول,Types de champs
"This ticket is solved, you can","This ticket is solved, you can","Este ticket esta solucionado, puedes",تم حل هذه التذكرة، يمكنك,"Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,Tickets pendientes,التذاكر المعلقة,Billets en attente
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs
Solved Tickets,Solved Tickets,Tickets resueltos,التذاكر المحلولة,Tickets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
Action,Action,Acción,فعل,Action
Mark as Solved,Mark as Solved,Marcar como resuelto,وضع علامة على الحل,Marquer comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails de l'assistance
Description,Description,Descripción,وصف,Description
Attachments,Attachments,Archivos adjuntos,المرفقات,Pièces jointes
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,هل أنت متأكد من وضع علامة على الحل (الرمز:,Êtes-vous sûr de marquer comme résolu (Jeton :
Because it,Because it,Porque es,لأنه,Parce que c'est
Fixed Charge,Fixed Charge,Cargo fijo,رسوم ثابتة,Frais fixes
Percent Charge,Percent Charge,Porcentaje de carga,نسبة الرسوم,Pourcentage de charge
Range,Range,Rango,يتراوح,Gamme
Minimum Amount,Minimum Amount,Cantidad mínima,الحد الأدنى للمبلغ,Montant minimum
Maximum Amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ,Montant maximum
Limit,Limit,Límite,حد,Limite
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي,Limite de transfert quotidienne
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري,Limite de transfert mensuelle
Admin,Admin,Administración,مسؤل,Administrateur
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة,Développé par
Reset To Default,Reset To Default,Restablecer a valores predeterminados,إعادة التعيين إلى الوضع الافتراضي,Réinitialiser aux paramètres par défaut
Clear All,Clear All,Borrar todo,مسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée !
Google 2FA,Google 2FA,Google 2FA,المصادقة الثنائية من جوجل,Google 2FA
TRX ID,TRX ID,Identificación de TRX,معرف TRX,ID TRX
Gateway,Gateway,Puerta,بوابة,Porte
Time,Time,Tiempo,وقت,Temps
URI,URI,URI,عنوان URI,URI
Are you sure to delete this permission?,Are you sure to delete this permission?,¿Estás seguro de eliminar este permiso?,هل أنت متأكد من حذف هذا الإذن؟,Êtes-vous sûr de vouloir supprimer cette autorisation ?
All Admin Roles,All Admin Roles,Todos los roles de administrador,جميع أدوار الإدارة,Tous les rôles d'administrateur
Asign Admin,Asign Admin,Asignar administrador,تعيين المسؤول,Affecter un administrateur
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور؟,Êtes-vous sûr de vouloir supprimer ce rôle ?
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También se eliminarán todos los permisos para este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيؤدي ذلك أيضًا إلى حذف جميع الأذونات المتعلقة بهذا الدور.,Êtes-vous sûr de vouloir supprimer cette autorisation ? Cela supprimera également toutes les autorisations pour ce rôle.
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminarlo?,هل أنت متأكد من الإزالة؟,Êtes-vous sûr de vouloir supprimer
Are you sure to,Are you sure to,¿Estás seguro de?,هل انت متأكد من ذلك؟,Êtes-vous sûr de
this screen?,this screen?,¿Esta pantalla?,هذه الشاشة؟,cet écran ?
App Version,App Version,Versión de la aplicación,إصدار التطبيق,Version de l'application
Reply,Reply,Responder,رد,Répondre
Created At,Created At,Creado en,تم إنشاؤه في,Créé à
Replyed,Replyed,Respondido,ردت,Répondu
Not Replyed,Not Replyed,No respondido,لم يتم الرد,Pas de réponse
Send Reply,Send Reply,Enviar respuesta,إرسال الرد,Envoyer une réponse
Policy Link,Policy Link,Enlace de política,رابط السياسة,Lien politique
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Monederos de criptomonedas,محافظ العملات المشفرة,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar billeteras,إنشاء محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,Monedero no presente en algunas divisas/monedas.,المحفظة غير موجودة في بعض العملات/العملات المعدنية.,Portefeuille absent dans certaines devises/pièces.
Ex:,Ex:,Ex:,السابق:,Ex:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón Generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء المحافظ لإنشاء محافظ ديناميكية.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles de manière dynamique.
Add Wallet,Add Wallet,Agregar billetera,إضافة المحفظة,Ajouter un portefeuille
Xpub,Xpub,Xpub,إكس بوكس,Xpub
Balance,Balance,Balance,توازن,Équilibre
Incoming Balance,Incoming Balance,Saldo entrante,الرصيد الوارد,Solde entrant
Outgoing Balance,Outgoing Balance,Saldo saliente,الرصيد الصادر,Solde sortant
Incoming Pending Balance,Incoming Pending Balance,Saldo pendiente entrante,الرصيد المعلق الوارد,Solde entrant en attente
Outgoing Pending Balance,Outgoing Pending Balance,Saldo pendiente de salida,الرصيد المعلق الصادر,Solde sortant en attente
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,"Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregarla manualmente haciendo clic en el botón ""Agregar"".","هذه العملة قيد الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة محفظة يدويًا بالنقر على زر ""إضافة"".",Cette pièce est en cours de maintenance ou nécessite la création d'un portefeuille. Vous pouvez ajouter un portefeuille manuellement en cliquant sur le bouton « Ajouter ».
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة,Ajouter un nouveau portefeuille
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de vouloir supprimer ce portefeuille ?
Gateway Edit,Gateway Edit,Edición de puerta de enlace,تعديل البوابة,Modifier la passerelle
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacciones,المعاملات,Transactions
Txn Hash,Txn Hash,Hash de transacción,تجزئة المعاملة,Hachage de transaction
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminarlo?,هل أنت متأكد من الحذف؟,Êtes-vous sûr de vouloir supprimer
currency?,currency?,¿divisa?,عملة؟,devise?
Total Visitors,Total Visitors,Total de visitantes,إجمالي الزوار,Nombre total de visiteurs
New,New,Nuevo,جديد,Nouveau
Today,Today,Hoy,اليوم,Aujourd'hui
Total,Total,Total,المجموع,Total
Total Profit,Total Profit,Beneficio total,إجمالي الربح,Bénéfice total
This Day,This Day,Este día,هذا اليوم,Ce jour-là
This Month,This Month,Este mes,هذا الشهر,Ce mois-ci
Solved,Solved,Resuelto,تم الحل,Résolu
Pending Add Money,Pending Add Money,Pendiente de añadir dinero,معلق إضافة الأموال,En attente d'ajout d'argent
Pending Money Out,Pending Money Out,Dinero pendiente de salida,الأموال المعلقة خارج,Argent en attente
Add Money Analytics,Add Money Analytics,Agregar análisis de dinero,إضافة تحليلات الأموال,Ajouter Money Analytics
Send Report,Send Report,Enviar informe,إرسال التقرير,Envoyer un rapport
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟,Êtes-vous sûr de vouloir supprimer cette langue ?
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية في اللغة الإنجليزية,Mots-clés de la langue anglaise
Update Gateway,Update Gateway,Actualizar puerta de enlace,بوابة التحديث,Mettre à jour la passerelle
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar pasarela automática (Agregar dinero),إضافة بوابة أوتوماتيكية (إضافة أموال),Ajouter une passerelle automatique (ajouter de l'argent)
gatewayImage,gatewayImage,Imagen de puerta de enlace,بوابة الصورة,Image de passerelle
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle
Genarate Fields,Genarate Fields,Campos generados,إنشاء الحقول,Générer des champs
2FA Settings,2FA Settings,Configuración de 2FA,إعدادات 2FA,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Don,Don,Don,اِتَّشَح,Enfiler
t login in your account.,t login in your account.,t inicia sesión en tu cuenta.,لتسجيل الدخول إلى حسابك.,ne vous connectez pas à votre compte.
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين المصادقة الثنائية,Activer l'authentificateur à deux facteurs
2FA (Powered by google)?,2FA (Powered by google)?,¿2FA (con tecnología de Google)?,2FA (مدعوم من جوجل)؟,2FA (propulsé par Google) ?
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil :
Select State,Select State,Seleccione Estado,اختر الولاية,Sélectionnez l'état
Select City,Select City,Seleccionar ciudad,اختر المدينة,Sélectionnez la ville
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات الدفع للمتصفح,Configuration des notifications push du navigateur
Method,Method,Método,طريقة,Méthode
Select Method,Select Method,Seleccionar método,اختر الطريقة,Sélectionnez la méthode
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance
Primary key,Primary key,Clave principal,المفتاح الأساسي,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,تكوين البث/الإشعار الداخلي,Configuration de la diffusion/notification interne
APP ID,APP ID,ID de la aplicación,معرف التطبيق,ID de l'application
Secret key,Secret key,Clave secreta,المفتاح السري,Clé secrète
Cluster,Cluster,Grupo,تَجَمَّع,Grappe
Notification Body,Notification Body,Organismo de notificación,نص الإشعار,Organisme de notification
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإشعارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de la aplicación,بيئة التطبيق,Environnement de l'application
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage d'application
App Mode,App Mode,Modo aplicación,وضع التطبيق,Mode application
Database Connection,Database Connection,Conexión a la base de datos,اتصال قاعدة البيانات,Connexion à la base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données
PHP Version,PHP Version,Versión de PHP,إصدار PHP,Version PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برنامج الخادم,Logiciel serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخاص بالخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole du serveur
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi d'e-mail*
SMTP,SMTP,SMTP,بروتوكول نقل البريد البسيط,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier
Host,Host,Anfitrión,يستضيف,Hôte
Port,Port,Puerto,ميناء,Port
Encryption,Encryption,Cifrado,التشفير,Cryptage
Email Body,Email Body,Cuerpo del correo electrónico,نص البريد الإلكتروني,Corps de l'e-mail
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom du champ
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميغابايت),Taille maximale du fichier (Mo)
File Extension,File Extension,Extensión de archivo,امتداد الملف,Extension de fichier
Min Character,Min Character,Carácter mínimo,شخصية مين,Caractère minimum
Max Character,Max Character,Personaje máximo,ماكس كاركتر,Caractère Max
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Nécessité du terrain
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Category,Add Category,Agregar categoría,إضافة فئة,Ajouter une catégorie
Update Category,Update Category,Actualizar categoría,تحديث الفئة,Mettre à jour la catégorie
Category,Category,Categoría,فئة,Catégorie
Tags,Tags,Etiquetas,العلامات,Mots clés
Heading,Heading,Título,عنوان,Titre
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un élément
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément
Icon,Icon,Icono,رمز,Icône
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة معلومات الإعلان,Tableau de bord des annonces
Total Category,Total Category,Categoría total,إجمالي الفئة,Catégorie totale
Active Category,Active Category,Categoría activa,الفئة النشطة,Catégorie active
Total Announcement,Total Announcement,Anuncio total,الإعلان الكامل,Annonce totale
Active Announcement,Active Announcement,Anuncio activo,إعلان نشط,Annonce active
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Lien vidéo
Designation,Designation,Designación,تعيين,Désignation
Comment,Comment,Comentario,تعليق,Commentaire
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات,Commentaires sur les mises à jour
Star,Star,Estrella,نجم,Étoile
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Section Contact
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية,Liens sociaux
Link,Link,Enlace,وصلة,Lien
Edit Glance,Edit Glance,Editar Vistazo,نظرة سريعة على التحرير,Modifier Coup d'œil
Content,Content,Contenido,محتوى,Contenu
Edit Service,Edit Service,Servicio de edición,خدمة التحرير,Service d'édition
Edit Solution,Edit Solution,Editar solución,تعديل الحل,Modifier la solution
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد إلى الجميع,Envoyer un courrier à tous
Ticket ID,Ticket ID,Identificación del ticket,معرف التذكرة,ID du billet
Support Ticket,Support Ticket,Ticket de soporte,تذكرة الدعم,Ticket d'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Last Reply,Last Reply,Última respuesta,الرد الأخير,Dernière réponse
Slug,Slug,Babosa,سبيكة,Limace
Add link,Add link,Añadir enlace,إضافة رابط,Ajouter un lien
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟,Êtes-vous sûr de vouloir supprimer ce lien ?
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Receive,Receive,Recibir,يستلم,Recevoir
Total Money Out,Total Money Out,Total de dinero retirado,إجمالي الأموال الخارجة,Total des sorties d'argent
Canceled,Canceled,Cancelado,تم الإلغاء,Annulé
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar saldo,إضافة/طرح الرصيد,Ajouter/Soustraire le solde
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique
Last Login,Last Login,Último inicio de sesión,آخر تسجيل دخول,Dernière connexion
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur
Edit KYC,Edit KYC,Editar KYC,تعديل KYC,Modifier KYC
Information of Logs,Information of Logs,Información de Registros,معلومات السجلات,Informations sur les journaux
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Les informations KYC n'ont pas encore été soumises
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة؟,Êtes-vous sûr d'approuver
KYC information.,KYC information.,Información KYC.,معلومات KYC.,Informations KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل دخول المستخدم,Journaux de connexion des utilisateurs
SL.,SL.,SL.,س.ل.,SL.
IP,IP,Propiedad intelectual,عنوان IP,propriété intellectuelle
MAC,MAC,IMPERMEABLE,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation
Login at,Login at,Iniciar sesión en,تسجيل الدخول في,Connectez-vous à
USER,USER,USUARIO,مستخدم,UTILISATEUR
Send,Send,Enviar,يرسل,Envoyer
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع,Couleur de base du site
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP,Expiration du mot de passe à usage unique
Web Version,Web Version,Versión web,نسخة الويب,Version Web
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version allégée)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (النسخة المظلمة),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),أيقونة مفضلة (الإصدار الخفيف),Favicon (version allégée)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الرمز المفضل (النسخة المظلمة),Favicon (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :
Social Title,Social Title,Título social,اللقب الاجتماعي,Titre social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - لم يتم العثور على الصفحة,404 - Page non trouvée
Page Not Found...!,Page Not Found...!,Página no encontrada...!,لم يتم العثور على الصفحة...!,Page non trouvée...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée
Page Expired...!,Page Expired...!,¡Página expirada...!,انتهت صلاحية الصفحة...!,Page expirée...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur du serveur...!
Public,Public,Público,عام,Publique
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Back to,Back to,Volver a,العودة إلى,Retour à
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر,Droits d'auteur
Y,Y,Y,ي,Oui
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.,Tous droits réservés.
Account Authorization,Account Authorization,Autorización de cuenta,تفويض الحساب,Autorisation de compte
